Id,Sheep Breed,Any Diseases,Output
285,Malpura,"Tapeworm cysts(bladder worm, sheep measles,hydatids)","Face colour of sheep is light brown.Fleece of this sheep is white,extremely coarse and hairy. Belly and legs are devoid of wool.  tapeworm cysts in sheep can affect wool quality and quantity indirectly through various mechanisms, including carcase condemnation, reduced animal value, stress, poor nutrition, changes in management practices, and human health risks"
286,Malpura,Tetanus,"Face colour of sheep is light brown.Fleece of this sheep is white,extremely coarse and hairy. Belly and legs are devoid of wool. There is no direct evidence that tetanus affects wool production in sheep."
287,Malpura,Vibrosis,"Face colour of sheep is light brown.Fleece of this sheep is white,extremely coarse and hairy. Belly and legs are devoid of wool. There is no direct evidence that Vibriosis affects wool production in sheep"
288,Sonadi,None,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool."
289,Sonadi,Sheep Lice,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. The disease might lead to decreased wool value from cotton fleeces,decresased fibre length, fleece weight, staple strength, style and colour."
290,Sonadi,Sheep worms,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. The disease might lead to reduced wool value from cotton fleeces,decreased fibre length, fleece weight, staple strength,style and colour"
291,Sonadi,Flystrike,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.With this disease,The wool around the affected area may become matted and discolored, and the wool fibers may break down due to the presence of maggots and their secretions. The wool may also become contaminated with urine and fecal material, which can provide an effective breeding ground for maggots even in the relative absence of wounds"
292,Sonadi,Acidosis,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. The disease might lead to decrease in wool quality and quantity as well as reduction in wool fibre diameter "
293,Sonadi,Annual ryegrass toxicity(ARGT),"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. The disease might lead to reduce wool fiber diameter, staple strength, weight gain, and lambing percentages "
294,Sonadi,Arthritis,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. Young lambs are the most susceptible to developing arthritis following spread of infection from the navel or infected marking, mulesing and/or shearing wounds "
295,Sonadi,Botulism,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.The disease does not affect wool quality"
296,Sonadi,Cheesy gland(CLA),"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.The disease can lead to lose around 4-7% of their clean wool production "
297,Sonadi,Cobalt deficiency,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. The disease might result in poor coat of wool"
298,Sonadi,Coccidiosis,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.diarrhea caused by coccidiosis can also lead to heavily soiled fleece and an increased risk of flystrike "
299,Sonadi,Copper deficiency,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. copper deficiency may result in a poor fleece without its natural “crimp” which has been described as “steely wool”"
300,Sonadi,Copper poisoning,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.This disease may lead to stringy wool and swayback or enzootic ataxia of lambs, which is a condition where lambs cannot coordinate their legs"
301,Sonadi,Dermatophilosis,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. The wool of affected sheep may become matted and lumpy, and the fibers may be damaged . The wool may also become contaminated with bacteria, which can lead to further complications "
302,Sonadi,Exposure losses,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. it is possible that exposure losses can indirectly affect wool quality by causing stress to the sheep, which can lead to wool breakage or wool loss"
303,Sonadi,Foot abscess,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.it is possible that foot abscesses can indirectly affect wool quality by causing stress to the sheep, which can lead to wool breakage or wool loss"
304,Sonadi,Footrot,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. Footrot can cause sheep to lose weight, produce less wool, and have lower lambing performance"
305,Sonadi,Grasstetany(hypomagnesaemia),"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. The disease can lead to decreased wool production and quality due to stress and poor overall health."
306,Sonadi,Large lungworm,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. This disease might result in lower wool yields and poorer wool quality, as the sheep may not have the energy or resources to produce high-quality wool."
307,Sonadi,Listerosis(circling disease),"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.  the illness and death of affected sheep can result in decreased wool quality and quantity due to stress and reduced flock size."
308,Sonadi,Lupinosis,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. Due to this disease,There were reductions in clean fleece weight, yield, mean fibre diameter and staple strength, and changes in position of break attributable to administration of phomopsins"
309,Sonadi,Mastitis,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. Mastitis in sheep can have an impact on wool quality and quantity. The inflammation caused by mastitis can lead to changes in the wool follicles, resulting in uneven wool growth, shorter staple length, and wool quality. In severe cases, the inflammation can cause wool breakage, leading to wool loss."
310,Sonadi,Milk fever(hypocalcaemia),"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.Regarding wool, there is no direct impact of milk fever on the quality or quantity of wool production."
311,Sonadi,Nitrate poisoning,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. This might cause wool fibers to become brittle and break more easily.It can also cause discoloration of wool.The wool may be weaker, have more breaks, and be more prone to shrinkage during processing."
312,Sonadi,Ovine Johne's disease(OJD),"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.OJD can affect wool production in infected sheep. The disease causes severe wasting, which can lead to a decrease in body condition score and wool production. Additionally, the wool quality may be affected due to the poor nutrition of the infected sheep "
313,Sonadi,Oxalate poisoning,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. it is known that the disease can cause a decrease in body condition score and wool production due to severe wasting"
314,Sonadi,Perennial ryegrass,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. it is known that the disease can cause a decrease in body condition score and wool production due to severe wasting"
315,Sonadi,Phalaris poisoning,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.  The wool may become coarse, brittle, and discolored, leading to reduced wool quality."
316,Sonadi,Phalaris staggers,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.The disease might lead to abnormal wool growth or damage to the wool follicles."
317,Sonadi,Photosensitisation,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.In severe cases, the skin damage can lead to skin sloughing, which can further exacerbate the impact on wool production."
318,Sonadi,Pink eye,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. In some cases, the inflammation and discharge caused by the infection can also lead to wool staining, which can be difficult to remove and may affect the value of the wool."
319,Sonadi,Pneumonia,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. Pneumonia can also cause wool break in sheep, which is when thin, weak areas in the fibers cause the fleece to break apart when tugged."
320,Sonadi,Polioencephalomalacia,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. In severe cases of PEM, animals may be unable to stand or may have seizures, which can further compromise their ability to eat and drink and can lead to weight loss and decreased wool production."
321,Sonadi,Pregnancy toxaemia,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.The disease doesn’t affect wool"
322,Sonadi,Pulpy kidney(enterotoxaemia),"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.The disease might affect the wool follicles and cause wool breakage or loss"
323,Sonadi,Pyrrolizidine alkaloid poisoning,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. Pyrrolizidine alkaloid poisoning in sheep can result in lighter weight and decreased wool growth compared to sheep grazing on Echium-free pasture."
324,Sonadi,Scabby mouth,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.The virus that causes scabby mouth can also cause lesions on other body parts, which may become susceptible to secondary bacterial invasion, further impacting the health and well-being of the sheep and potentially affecting wool production. "
325,Sonadi,Selenium deficiency(white muscle),"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. Inadequate levels of selenium can result in a wool fleece that is lacking in its natural ""crimp,"" which is the natural wave or curl in the wool fibers. This can lead to a less valuable wool clip for farmers."
326,Sonadi,"Tapeworm cysts(bladder worm, sheep measles,hydatids)","Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.  tapeworm cysts in sheep can affect wool quality and quantity indirectly through various mechanisms, including carcase condemnation, reduced animal value, stress, poor nutrition, changes in management practices, and human health risks"
327,Sonadi,Tetanus,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool.There is no direct evidence that tetanus affects wool production in sheep."
328,Sonadi,Vibrosis,"Face colour of sheep is light brown extending to the middle of the neck. Fleece of this sheep is white,extremely coarse and hairy.Belly and legs are devoid of wool. There is no direct evidence that Vibriosis affects wool production in sheep"
329,Patanwadi,None,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep."
330,Patanwadi,Sheep Lice,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. The disease might lead to decreased wool value from cotton fleeces,decresased fibre length, fleece weight, staple strength, style and colour."
331,Patanwadi,Sheep worms,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. The disease might lead to reduced wool value from cotton fleeces,decreased fibre length, fleece weight, staple strength,style and colour"
332,Patanwadi,Flystrike,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep.With this disease,The wool around the affected area may become matted and discolored, and the wool fibers may break down due to the presence of maggots and their secretions. The wool may also become contaminated with urine and fecal material, which can provide an effective breeding ground for maggots even in the relative absence of wounds"
333,Patanwadi,Acidosis,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. The disease might lead to decrease in wool quality and quantity as well as reduction in wool fibre diameter "
334,Patanwadi,Annual ryegrass toxicity(ARGT),"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. The disease might lead to reduce wool fiber diameter, staple strength, weight gain, and lambing percentages "
335,Patanwadi,Arthritis,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. Young lambs are the most susceptible to developing arthritis following spread of infection from the navel or infected marking, mulesing and/or shearing wounds "
336,Patanwadi,Botulism,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. The disease does not affect wool quality"
337,Patanwadi,Cheesy gland(CLA),"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. The disease can lead to lose around 4-7% of their clean wool production "
338,Patanwadi,Cobalt deficiency,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep.The disease might result in poor coat of wool"
339,Patanwadi,Coccidiosis,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. diarrhea caused by coccidiosis can also lead to heavily soiled fleece and an increased risk of flystrike "
340,Patanwadi,Copper deficiency,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. copper deficiency may result in a poor fleece without its natural “crimp” which has been described as “steely wool”"
341,Patanwadi,Copper poisoning,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. This disease may lead to stringy wool and swayback or enzootic ataxia of lambs, which is a condition where lambs cannot coordinate their legs"
342,Patanwadi,Dermatophilosis,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. The wool of affected sheep may become matted and lumpy, and the fibers may be damaged . The wool may also become contaminated with bacteria, which can lead to further complications "
343,Patanwadi,Exposure losses,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. it is possible that exposure losses can indirectly affect wool quality by causing stress to the sheep, which can lead to wool breakage or wool loss"
344,Patanwadi,Foot abscess,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep.it is possible that foot abscesses can indirectly affect wool quality by causing stress to the sheep, which can lead to wool breakage or wool loss"
345,Patanwadi,Footrot,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. Footrot can cause sheep to lose weight, produce less wool, and have lower lambing performance"
346,Patanwadi,Grasstetany(hypomagnesaemia),"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. The disease can lead to decreased wool production and quality due to stress and poor overall health."
347,Patanwadi,Large lungworm,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. This disease might result in lower wool yields and poorer wool quality, as the sheep may not have the energy or resources to produce high-quality wool."
348,Patanwadi,Listerosis(circling disease),"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. the illness and death of affected sheep can result in decreased wool quality and quantity due to stress and reduced flock size."
349,Patanwadi,Lupinosis,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. Due to this disease,There were reductions in clean fleece weight, yield, mean fibre diameter and staple strength, and changes in position of break attributable to administration of phomopsins"
350,Patanwadi,Mastitis,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. Mastitis in sheep can have an impact on wool quality and quantity. The inflammation caused by mastitis can lead to changes in the wool follicles, resulting in uneven wool growth, shorter staple length, and wool quality. In severe cases, the inflammation can cause wool breakage, leading to wool loss."
351,Patanwadi,Milk fever(hypocalcaemia),"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. Regarding wool, there is no direct impact of milk fever on the quality or quantity of wool production."
352,Patanwadi,Nitrate poisoning,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. This might cause wool fibers to become brittle and break more easily.It can also cause discoloration of wool.The wool may be weaker, have more breaks, and be more prone to shrinkage during processing."
353,Patanwadi,Ovine Johne's disease(OJD),"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep.OJD can affect wool production in infected sheep. The disease causes severe wasting, which can lead to a decrease in body condition score and wool production. Additionally, the wool quality may be affected due to the poor nutrition of the infected sheep "
354,Patanwadi,Oxalate poisoning,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. it is known that the disease can cause a decrease in body condition score and wool production due to severe wasting"
355,Patanwadi,Perennial ryegrass,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. it is known that the disease can cause a decrease in body condition score and wool production due to severe wasting"
356,Patanwadi,Phalaris poisoning,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep.  The wool may become coarse, brittle, and discolored, leading to reduced wool quality."
357,Patanwadi,Phalaris staggers,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. The disease might lead to abnormal wool growth or damage to the wool follicles."
358,Patanwadi,Photosensitisation,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. In severe cases, the skin damage can lead to skin sloughing, which can further exacerbate the impact on wool production."
359,Patanwadi,Pink eye,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. In some cases, the inflammation and discharge caused by the infection can also lead to wool staining, which can be difficult to remove and may affect the value of the wool."
360,Patanwadi,Pneumonia,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. Pneumonia can also cause wool break in sheep, which is when thin, weak areas in the fibers cause the fleece to break apart when tugged."
361,Patanwadi,Polioencephalomalacia,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. In severe cases of PEM, animals may be unable to stand or may have seizures, which can further compromise their ability to eat and drink and can lead to weight loss and decreased wool production."
362,Patanwadi,Pregnancy toxaemia,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. The disease doesn’t affect wool"
363,Patanwadi,Pulpy kidney(enterotoxaemia),"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep.The disease might affect the wool follicles and cause wool breakage or loss"
364,Patanwadi,Pyrrolizidine alkaloid poisoning,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. Pyrrolizidine alkaloid poisoning in sheep can result in lighter weight and decreased wool growth compared to sheep grazing on Echium-free pasture."
365,Patanwadi,Scabby mouth,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. The virus that causes scabby mouth can also cause lesions on other body parts, which may become susceptible to secondary bacterial invasion, further impacting the health and well-being of the sheep and potentially affecting wool production. "
366,Patanwadi,Selenium deficiency(white muscle),"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. Inadequate levels of selenium can result in a wool fleece that is lacking in its natural ""crimp,"" which is the natural wave or curl in the wool fibers. This can lead to a less valuable wool clip for farmers."
367,Patanwadi,"Tapeworm cysts(bladder worm, sheep measles,hydatids)","Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep.  tapeworm cysts in sheep can affect wool quality and quantity indirectly through various mechanisms, including carcase condemnation, reduced animal value, stress, poor nutrition, changes in management practices, and human health risks"
368,Patanwadi,Tetanus,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. There is no direct evidence that tetanus affects wool production in sheep."
369,Patanwadi,Vibrosis,"Two types of sheep:non migratory,produces finer fleeces,migratory:Produces coarse fleeces.For both the non-migratory and migratory strains of the Patanwadi breed, the wool is sheared from the entire body of the sheep. There is no direct evidence that Vibriosis affects wool production in sheep"
370,Muzaffarnagri,None,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool."
371,Muzaffarnagri,Sheep Lice,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. The disease might lead to decreased wool value from cotton fleeces,decresased fibre length, fleece weight, staple strength, style and colour."
372,Muzaffarnagri,Sheep worms,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. The disease might lead to reduced wool value from cotton fleeces,decreased fibre length, fleece weight, staple strength,style and colour"
373,Muzaffarnagri,Flystrike,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool.With this disease,The wool around the affected area may become matted and discolored, and the wool fibers may break down due to the presence of maggots and their secretions. The wool may also become contaminated with urine and fecal material, which can provide an effective breeding ground for maggots even in the relative absence of wounds"
374,Muzaffarnagri,Acidosis,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. The disease might lead to decrease in wool quality and quantity as well as reduction in wool fibre diameter "
375,Muzaffarnagri,Annual ryegrass toxicity(ARGT),"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. The disease might lead to reduce wool fiber diameter, staple strength, weight gain, and lambing percentages "
376,Muzaffarnagri,Arthritis,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. Young lambs are the most susceptible to developing arthritis following spread of infection from the navel or infected marking, mulesing and/or shearing wounds "
377,Muzaffarnagri,Botulism,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. The disease does not affect wool quality"
378,Muzaffarnagri,Cheesy gland(CLA),"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. The disease can lead to lose around 4-7% of their clean wool production "
379,Muzaffarnagri,Cobalt deficiency,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. The disease might result in poor coat of wool"
380,Muzaffarnagri,Coccidiosis,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. diarrhea caused by coccidiosis can also lead to heavily soiled fleece and an increased risk of flystrike "
381,Muzaffarnagri,Copper deficiency,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. copper deficiency may result in a poor fleece without its natural “crimp” which has been described as “steely wool”"
382,Muzaffarnagri,Copper poisoning,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. This disease may lead to stringy wool and swayback or enzootic ataxia of lambs, which is a condition where lambs cannot coordinate their legs"
383,Muzaffarnagri,Dermatophilosis,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. The wool of affected sheep may become matted and lumpy, and the fibers may be damaged . The wool may also become contaminated with bacteria, which can lead to further complications "
384,Muzaffarnagri,Exposure losses,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. it is possible that exposure losses can indirectly affect wool quality by causing stress to the sheep, which can lead to wool breakage or wool loss"
385,Muzaffarnagri,Foot abscess,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. it is possible that foot abscesses can indirectly affect wool quality by causing stress to the sheep, which can lead to wool breakage or wool loss"
386,Muzaffarnagri,Footrot,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. Footrot can cause sheep to lose weight, produce less wool, and have lower lambing performance"
387,Muzaffarnagri,Grasstetany(hypomagnesaemia),"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. The disease can lead to decreased wool production and quality due to stress and poor overall health."
388,Muzaffarnagri,Large lungworm,"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool. This disease might result in lower wool yields and poorer wool quality, as the sheep may not have the energy or resources to produce high-quality wool."
389,Muzaffarnagri,Listerosis(circling disease),"Face and body of sheep are white with occasional patches of brown or black. Fleece is white,coarse and open.Belly and legs are devoid of wool coarse fleece that is primarily used for making carpet quality wool.  the illness and death of affected sheep can result in decreased wool quality and quantity due to stress and reduced flock size."
